question,model,en_model_answer,en_correct_answer,modified_model_answer,modified_correct_answer,gr_model_answer,gr_correct_answer,confidence_score,nlp_score,levenshtein_score,substring_score,sentence_transformers_score,greek_sentence_transformers_score,F1_score,weighted_total_score,is_correct (labeled by human),is_correct (labeled by machine),is_correct (labeled by human)
,rsvp-ai/bertserini-bert-base-squad,hot cups and hot machine,Hot cups and hot machine,hot cups and hot machine,hot cups and hot machine,ζεστά κύπελλα και καυτή μηχανή,Ζεστά φλιτζάνια και ζεστή μηχανή,0.902293324,1,1,1,1,0.934,0.8,0.96,yes,yes,yes
,deepset/minilm-uncased-squad2,hot cups and hot machine,Hot cups and hot machine,hot cups and hot machine,hot cups and hot machine,ζεστά κύπελλα και καυτή μηχανή,Ζεστά φλιτζάνια και ζεστή μηχανή,0.861758828,1,1,1,1,0.934,0.8,0.96,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,hot cups and hot machine,Hot cups and hot machine,hot cups and hot machine,hot cups and hot machine,ζεστά κύπελλα και καυτή μηχανή,Ζεστά φλιτζάνια και ζεστή μηχανή,0.933550835,1,1,1,1,0.934,0.8,0.96,yes,yes,yes
,deepset/bert-base-cased-squad2,hot cups and hot machine,Hot cups and hot machine,hot cups and hot machine,hot cups and hot machine,ζεστά κύπελλα και καυτή μηχανή,Ζεστά φλιτζάνια και ζεστή μηχανή,0.948562682,1,1,1,1,0.934,0.8,0.96,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,hot cups and hot machine,Hot cups and hot machine,hot cups and hot machine,hot cups and hot machine,ζεστά κύπελλα και καυτή μηχανή,Ζεστά φλιτζάνια και ζεστή μηχανή,0.879353166,1,1,1,1,0.934,0.8,0.96,yes,yes,yes
How do we understand the good espresso?,deepset/roberta-base-squad2,from his pet,From the kimmy.,from his pet,from the kimmy,από το κατοικίδιό του.,Από το καϊμάκι,0.553760529,0.525,0.429,0.538,0.655,0.733,0.333333333,0.530366667,no,partially,no
,bert-large-uncased-whole-word-masking-finetuned-squad,from his pet,From the kimmy.,from his pet,from the kimmy,από το κατοικίδιό του.,Από το καϊμάκι,0.532561243,0.525,0.429,0.538,0.655,0.733,0.333333333,0.530366667,no,partially,no
,distilbert-base-cased-distilled-squad,from his pet,From the kimmy.,from his pet,from the kimmy,από το κατοικίδιό του.,Από το καϊμάκι,0.569964349,0.525,0.429,0.538,0.655,0.733,0.333333333,0.530366667,no,partially,no
,deepset/bert-large-uncased-whole-word-masking-squad2,from his pet,From the kimmy.,from his pet,from the kimmy,από το κατοικίδιό του.,Από το καϊμάκι,0.355898023,0.525,0.429,0.538,0.655,0.733,0.333333333,0.530366667,no,partially,no
,distilbert-base-uncased-distilled-squad,from his pet,From the kimmy.,from his pet,from the kimmy,από το κατοικίδιό του.,Από το καϊμάκι,0.36776647,0.525,0.429,0.538,0.655,0.733,0.333333333,0.530366667,no,partially,no
,rsvp-ai/bertserini-bert-base-squad,from his pet,From the kimmy.,from his pet,from the kimmy,από το κατοικίδιό του.,Από το καϊμάκι,0.667002797,0.525,0.429,0.538,0.655,0.733,0.333333333,0.530366667,no,partially,no
,deepset/minilm-uncased-squad2,from his pet,From the kimmy.,from his pet,from the kimmy,από το κατοικίδιό του.,Από το καϊμάκι,0.641341448,0.525,0.429,0.538,0.655,0.733,0.333333333,0.530366667,no,partially,no
,dmis-lab/biobert-large-cased-v1.1-squad,from his pet,From the kimmy.,from his pet,from the kimmy,από το κατοικίδιό του.,Από το καϊμάκι,0.360380501,0.525,0.429,0.538,0.655,0.733,0.333333333,0.530366667,no,partially,no
,deepset/bert-base-cased-squad2,from his pet,From the kimmy.,from his pet,from the kimmy,από το κατοικίδιό του.,Από το καϊμάκι,0.19240427,0.525,0.429,0.538,0.655,0.733,0.333333333,0.530366667,no,partially,no
,bert-large-cased-whole-word-masking-finetuned-squad,his pet,From the kimmy.,his pet,from the kimmy,το κατοικίδιο ζώο του,Από το καϊμάκι,0.398587793,0.349,0.143,0.19,0.517,0.4,0,0.3099,no,no,no
How many times do we mix the Greek coffee?,deepset/roberta-base-squad2,01-Feb,1-2 times,12,12 times,01-Feb,1-2 φορές,0.500032663,0.791,0.25,0.4,0.918,0.639,0.666666667,0.723733333,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,1-2 times,1-2 times,12 times,12 times,1-2 φορές,1-2 φορές,0.635428369,1,1,1,1,1,1,1,yes,yes,yes
,distilbert-base-cased-distilled-squad,1-2 times,1-2 times,12 times,12 times,1-2 φορές,1-2 φορές,0.786207259,1,1,1,1,1,1,1,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,1-2 times,1-2 times,12 times,12 times,1-2 φορές,1-2 φορές,0.499554336,1,1,1,1,1,1,1,yes,yes,yes
,distilbert-base-uncased-distilled-squad,1-2 times,1-2 times,12 times,12 times,1-2 φορές,1-2 φορές,0.494511873,1,1,1,1,1,1,1,yes,yes,yes
,rsvp-ai/bertserini-bert-base-squad,1-2 times,1-2 times,12 times,12 times,1-2 φορές,1-2 φορές,0.64430052,1,1,1,1,1,1,1,yes,yes,yes
,deepset/minilm-uncased-squad2,1-2 times,1-2 times,12 times,12 times,1-2 φορές,1-2 φορές,0.530236185,1,1,1,1,1,1,1,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,1-2 times,1-2 times,12 times,12 times,1-2 φορές,1-2 φορές,0.734539688,1,1,1,1,1,1,1,yes,yes,yes
,deepset/bert-base-cased-squad2,1-2 times,1-2 times,12 times,12 times,1-2 φορές,1-2 φορές,0.883977711,1,1,1,1,1,1,1,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,1-2 times,1-2 times,12 times,12 times,1-2 φορές,1-2 φορές,0.653515875,1,1,1,1,1,1,1,yes,yes,yes
When's the Greek coffee ready?,deepset/roberta-base-squad2,when it starts to rise,When it starts to rise,when it starts to rise,when it starts to rise,όταν αρχίζει να ανεβαίνει,Όταν αρχίσει να φουσκώνει το καϊμάκι,0.497636408,1,1,1,1,0.883,1,1,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,when it starts to rise,When it starts to rise,when it starts to rise,when it starts to rise,όταν αρχίζει να ανεβαίνει,Όταν αρχίσει να φουσκώνει το καϊμάκι,0.874682009,1,1,1,1,0.883,1,1,yes,yes,yes
,distilbert-base-cased-distilled-squad,when it starts to rise,When it starts to rise,when it starts to rise,when it starts to rise,όταν αρχίζει να ανεβαίνει,Όταν αρχίσει να φουσκώνει το καϊμάκι,0.924507618,1,1,1,1,0.883,1,1,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,when it starts to rise,When it starts to rise,when it starts to rise,when it starts to rise,όταν αρχίζει να ανεβαίνει,Όταν αρχίσει να φουσκώνει το καϊμάκι,0.808053374,1,1,1,1,0.883,1,1,yes,yes,yes
,distilbert-base-uncased-distilled-squad,when it starts to rise,When it starts to rise,when it starts to rise,when it starts to rise,όταν αρχίζει να ανεβαίνει,Όταν αρχίσει να φουσκώνει το καϊμάκι,0.870223105,1,1,1,1,0.883,1,1,yes,yes,yes
,rsvp-ai/bertserini-bert-base-squad,when it starts to rise,When it starts to rise,when it starts to rise,when it starts to rise,όταν αρχίζει να ανεβαίνει,Όταν αρχίσει να φουσκώνει το καϊμάκι,0.925033152,1,1,1,1,0.883,1,1,yes,yes,yes
,deepset/minilm-uncased-squad2,when it starts to rise,When it starts to rise,when it starts to rise,when it starts to rise,όταν αρχίζει να ανεβαίνει,Όταν αρχίσει να φουσκώνει το καϊμάκι,0.851799786,1,1,1,1,0.883,1,1,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,when it starts to rise,When it starts to rise,when it starts to rise,when it starts to rise,όταν αρχίζει να ανεβαίνει,Όταν αρχίσει να φουσκώνει το καϊμάκι,0.947266459,1,1,1,1,0.883,1,1,yes,yes,yes
,deepset/bert-base-cased-squad2,when it starts to rise,When it starts to rise,when it starts to rise,when it starts to rise,όταν αρχίζει να ανεβαίνει,Όταν αρχίσει να φουσκώνει το καϊμάκι,0.907462895,1,1,1,1,0.883,1,1,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,when it starts to rise,When it starts to rise,when it starts to rise,when it starts to rise,όταν αρχίζει να ανεβαίνει,Όταν αρχίσει να φουσκώνει το καϊμάκι,0.781327188,1,1,1,1,0.883,1,1,yes,yes,yes
What does he want to pay attention to Greek coffee?,deepset/roberta-base-squad2,candy,Don't get completely up.,candy,dont get completely up,καραμέλες,Να μη φουσκώσει εντελώς,5.51E-05,0.325,0.091,0.148,0.572,0.277,0,0.3177,no,no,no
,bert-large-uncased-whole-word-masking-finetuned-squad,his pet,Don't get completely up.,his pet,dont get completely up,το κατοικίδιο ζώο του,Να μη φουσκώσει εντελώς,0.068883494,0.509,0.182,0.207,0.451,0.221,0,0.3211,no,no,no
,distilbert-base-cased-distilled-squad,the water in the coffee maker should be cool,Don't get completely up.,the water in the coffee maker should be cool,dont get completely up,το νερό στον καφετιέρα θα πρέπει να είναι δροσερό,Να μη φουσκώσει εντελώς,0.246697769,0.715,0.227,0.303,0.275,0.117,0,0.306,no,no,no
,deepset/bert-large-uncased-whole-word-masking-squad2,his pet,Don't get completely up.,his pet,dont get completely up,το κατοικίδιο ζώο του,Να μη φουσκώσει εντελώς,0.000803676,0.509,0.182,0.207,0.451,0.221,0,0.3211,no,no,no
,distilbert-base-uncased-distilled-squad,water in the coffee maker,Don't get completely up.,water in the coffee maker,dont get completely up,νερό στην καφετιέρα,Να μη φουσκώσει εντελώς,0.181670845,0.548,0.2,0.383,0.309,0.137,0,0.2915,no,no,no
,rsvp-ai/bertserini-bert-base-squad,the water in the coffee maker should be cool,Don't get completely up.,the water in the coffee maker should be cool,dont get completely up,το νερό στον καφετιέρα θα πρέπει να είναι δροσερό,Να μη φουσκώσει εντελώς,0.141819254,0.715,0.227,0.303,0.275,0.117,0,0.306,no,no,no
,deepset/minilm-uncased-squad2,Be careful not to rise completely,Don't get completely up.,be careful not to rise completely,dont get completely up,Να προσέχεις να μην ανεβαίνεις εντελώς.,Να μη φουσκώσει εντελώς,0.001876373,0.843,0.333,0.545,0.796,0.711,0.2,0.6148,no,partially,no
,dmis-lab/biobert-large-cased-v1.1-squad,the water in the coffee maker should be cool,Don't get completely up.,the water in the coffee maker should be cool,dont get completely up,το νερό στον καφετιέρα θα πρέπει να είναι δροσερό,Να μη φουσκώσει εντελώς,0.221117616,0.715,0.227,0.303,0.275,0.117,0,0.306,no,no,no
,deepset/bert-base-cased-squad2,water in the coffee maker should be cool,Don't get completely up.,water in the coffee maker should be cool,dont get completely up,νερό στον καφετιέρα θα πρέπει να είναι δροσερό,Να μη φουσκώσει εντελώς,0.150708288,0.715,0.225,0.323,0.299,0.121,0,0.3174,no,no,no
,bert-large-cased-whole-word-masking-finetuned-squad,the water in the coffee maker should be cool,Don't get completely up.,the water in the coffee maker should be cool,dont get completely up,το νερό στον καφετιέρα θα πρέπει να είναι δροσερό,Να μη φουσκώσει εντελώς,0.272672564,0.715,0.227,0.303,0.275,0.117,0,0.306,no,no,no
How long does the filter coffee take?,deepset/roberta-base-squad2,1 minute,About 1 minute,1 minute,about 1 minute,1 λεπτό,1 περίπου λεπτό,0.356401801,0.916,0.571,0.727,0.952,0.964,0.8,0.8538,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,1 minute,About 1 minute,1 minute,about 1 minute,1 λεπτό,1 περίπου λεπτό,0.531757593,0.916,0.571,0.727,0.952,0.964,0.8,0.8538,yes,yes,yes
,distilbert-base-cased-distilled-squad,1 minute,About 1 minute,1 minute,about 1 minute,1 λεπτό,1 περίπου λεπτό,0.414537251,0.916,0.571,0.727,0.952,0.964,0.8,0.8538,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,1 minute,About 1 minute,1 minute,about 1 minute,1 λεπτό,1 περίπου λεπτό,0.397998303,0.916,0.571,0.727,0.952,0.964,0.8,0.8538,yes,yes,yes
,distilbert-base-uncased-distilled-squad,4 minutes,About 1 minute,4 minutes,about 1 minute,4 λεπτά,1 περίπου λεπτό,0.648867667,0.792,0.429,0.609,0.736,0.776,0,0.5566,no,partially,no
,rsvp-ai/bertserini-bert-base-squad,1 minute,About 1 minute,1 minute,about 1 minute,1 λεπτό,1 περίπου λεπτό,0.842784226,0.916,0.571,0.727,0.952,0.964,0.8,0.8538,yes,yes,yes
,deepset/minilm-uncased-squad2,1 minute,About 1 minute,1 minute,about 1 minute,1 λεπτό,1 περίπου λεπτό,0.329907775,0.916,0.571,0.727,0.952,0.964,0.8,0.8538,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,1 minute,About 1 minute,1 minute,about 1 minute,1 λεπτό,1 περίπου λεπτό,0.533336878,0.916,0.571,0.727,0.952,0.964,0.8,0.8538,yes,yes,yes
,deepset/bert-base-cased-squad2,1 minute,About 1 minute,1 minute,about 1 minute,1 λεπτό,1 περίπου λεπτό,0.33956331,0.916,0.571,0.727,0.952,0.964,0.8,0.8538,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,1 minute,About 1 minute,1 minute,about 1 minute,1 λεπτό,1 περίπου λεπτό,0.490420729,0.916,0.571,0.727,0.952,0.964,0.8,0.8538,yes,yes,yes
How long is the filter coffee?,deepset/roberta-base-squad2,1 minute,In about 1 minute.,1 minute,in about 1 minute,1 λεπτό,Σε 1 περίπου λεπτό,0.582346857,0.847,0.471,0.64,0.945,0.928,0.666666667,0.791833333,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,1 minute,In about 1 minute.,1 minute,in about 1 minute,1 λεπτό,Σε 1 περίπου λεπτό,0.498324573,0.847,0.471,0.64,0.945,0.928,0.666666667,0.791833333,yes,yes,yes
,distilbert-base-cased-distilled-squad,1 minute,In about 1 minute.,1 minute,in about 1 minute,1 λεπτό,Σε 1 περίπου λεπτό,0.618440926,0.847,0.471,0.64,0.945,0.928,0.666666667,0.791833333,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,1 minute,In about 1 minute.,1 minute,in about 1 minute,1 λεπτό,Σε 1 περίπου λεπτό,0.358845204,0.847,0.471,0.64,0.945,0.928,0.666666667,0.791833333,yes,yes,yes
,distilbert-base-uncased-distilled-squad,4 minutes,In about 1 minute.,4 minutes,in about 1 minute,4 λεπτά,Σε 1 περίπου λεπτό,0.529667556,0.742,0.353,0.538,0.723,0.737,0,0.5267,no,partially,no
,rsvp-ai/bertserini-bert-base-squad,1 minute,In about 1 minute.,1 minute,in about 1 minute,1 λεπτό,Σε 1 περίπου λεπτό,0.880527139,0.847,0.471,0.64,0.945,0.928,0.666666667,0.791833333,yes,yes,yes
,deepset/minilm-uncased-squad2,1 minute,In about 1 minute.,1 minute,in about 1 minute,1 λεπτό,Σε 1 περίπου λεπτό,0.488180012,0.847,0.471,0.64,0.945,0.928,0.666666667,0.791833333,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,1 minute,In about 1 minute.,1 minute,in about 1 minute,1 λεπτό,Σε 1 περίπου λεπτό,0.481078804,0.847,0.471,0.64,0.945,0.928,0.666666667,0.791833333,yes,yes,yes
,deepset/bert-base-cased-squad2,1 minute,In about 1 minute.,1 minute,in about 1 minute,1 λεπτό,Σε 1 περίπου λεπτό,0.638695121,0.847,0.471,0.64,0.945,0.928,0.666666667,0.791833333,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,1 minute,In about 1 minute.,1 minute,in about 1 minute,1 λεπτό,Σε 1 περίπου λεπτό,0.512417853,0.847,0.471,0.64,0.945,0.928,0.666666667,0.791833333,yes,yes,yes
Which coffee is making harder at home?,deepset/roberta-base-squad2,espresso,Espresso,espresso,espresso,εσπρέσσο,Ο εσπρέσο,0.240624741,1,1,1,1,0.972,1,1,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,espresso,Espresso,espresso,espresso,εσπρέσσο,Ο εσπρέσο,0.343177915,1,1,1,1,0.972,1,1,yes,yes,yes
,distilbert-base-cased-distilled-squad,espresso,Espresso,espresso,espresso,εσπρέσσο,Ο εσπρέσο,0.834791362,1,1,1,1,0.972,1,1,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,espresso,Espresso,espresso,espresso,εσπρέσσο,Ο εσπρέσο,0.008134831,1,1,1,1,0.972,1,1,yes,yes,yes
,distilbert-base-uncased-distilled-squad,espresso,Espresso,espresso,espresso,εσπρέσσο,Ο εσπρέσο,0.813396871,1,1,1,1,0.972,1,1,yes,yes,yes
,rsvp-ai/bertserini-bert-base-squad,espresso,Espresso,espresso,espresso,εσπρέσσο,Ο εσπρέσο,0.966859698,1,1,1,1,0.972,1,1,yes,yes,yes
,deepset/minilm-uncased-squad2,espresso,Espresso,espresso,espresso,εσπρέσσο,Ο εσπρέσο,0.22060895,1,1,1,1,0.972,1,1,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,espresso,Espresso,espresso,espresso,εσπρέσσο,Ο εσπρέσο,0.330353528,1,1,1,1,0.972,1,1,yes,yes,yes
,deepset/bert-base-cased-squad2,espresso,Espresso,espresso,espresso,εσπρέσσο,Ο εσπρέσο,0.103955612,1,1,1,1,0.972,1,1,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,espresso,Espresso,espresso,espresso,εσπρέσσο,Ο εσπρέσο,0.194059625,1,1,1,1,0.972,1,1,yes,yes,yes
What color does the espresso pan have to have?,deepset/roberta-base-squad2,candy,The colour of the candy,candy,the colour of the candy,καραμέλες,Το χρώμα της καραμέλας,0.062762372,0.597,0.217,0.357,0.79,0.515,0.333333333,0.559466667,yes,partially,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,candy,The colour of the candy,candy,the colour of the candy,καραμέλες,Το χρώμα της καραμέλας,0.795926332,0.597,0.217,0.357,0.79,0.515,0.333333333,0.559466667,yes,partially,yes
,distilbert-base-cased-distilled-squad,candy,The colour of the candy,candy,the colour of the candy,καραμέλες,Το χρώμα της καραμέλας,0.773058891,0.597,0.217,0.357,0.79,0.515,0.333333333,0.559466667,yes,partially,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,the color of the candy,The colour of the candy,the color of the candy,the colour of the candy,το χρώμα της καραμέλας,Το χρώμα της καραμέλας,0.230516255,0.981,0.957,0.978,0.972,1,0.6,0.8985,yes,yes,yes
,distilbert-base-uncased-distilled-squad,candy,The colour of the candy,candy,the colour of the candy,καραμέλες,Το χρώμα της καραμέλας,0.860487521,0.597,0.217,0.357,0.79,0.515,0.333333333,0.559466667,yes,partially,yes
,rsvp-ai/bertserini-bert-base-squad,candy,The colour of the candy,candy,the colour of the candy,καραμέλες,Το χρώμα της καραμέλας,0.652780354,0.597,0.217,0.357,0.79,0.515,0.333333333,0.559466667,yes,partially,yes
,deepset/minilm-uncased-squad2,the color of the candy,The colour of the candy,the color of the candy,the colour of the candy,το χρώμα της καραμέλας,Το χρώμα της καραμέλας,0.311843097,0.981,0.957,0.978,0.972,1,0.6,0.8985,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,the color of the candy,The colour of the candy,the color of the candy,the colour of the candy,το χρώμα της καραμέλας,Το χρώμα της καραμέλας,0.392044872,0.981,0.957,0.978,0.972,1,0.6,0.8985,yes,yes,yes
,deepset/bert-base-cased-squad2,candy,The colour of the candy,candy,the colour of the candy,καραμέλες,Το χρώμα της καραμέλας,0.001838954,0.597,0.217,0.357,0.79,0.515,0.333333333,0.559466667,yes,partially,yes
,bert-large-cased-whole-word-masking-finetuned-squad,candy,The colour of the candy,candy,the colour of the candy,καραμέλες,Το χρώμα της καραμέλας,0.343280703,0.597,0.217,0.357,0.79,0.515,0.333333333,0.559466667,yes,partially,yes
How did the Olympic season end?,deepset/roberta-base-squad2,the Emperor Theodosius forbid their conduct,In 393 C.E. the Emperor Theodosius banned their conduct,the emperor theodosius forbid their conduct,in 393 ce the emperor theodosius banned their conduct,Ο Αυτοκράτορας Θεοδόσιος απαγορεύει τη διαγωγή τους,Το 393 μ.Χ. ο αυτοκράτορας Θεοδόσιος απαγόρευσε τη διεξαγωγή τους,0.1294806,0.861,0.717,0.812,0.828,0.72,0.666666667,0.789633333,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,15th day,In 393 C.E. the Emperor Theodosius banned their conduct,15th day,in 393 ce the emperor theodosius banned their conduct,15η ημέρα,Το 393 μ.Χ. ο αυτοκράτορας Θεοδόσιος απαγόρευσε τη διεξαγωγή τους,0.130242452,0.454,0.094,0.164,0.386,0.05,0,0.271,no,no,no
,distilbert-base-cased-distilled-squad,a period of a thousand years,In 393 C.E. the Emperor Theodosius banned their conduct,a period of a thousand years,in 393 ce the emperor theodosius banned their conduct,περίοδος χιλίων ετών,Το 393 μ.Χ. ο αυτοκράτορας Θεοδόσιος απαγόρευσε τη διεξαγωγή τους,0.456444532,0.651,0.283,0.42,0.396,0.162,0,0.3589,no,no,no
,deepset/bert-large-uncased-whole-word-masking-squad2,the 15th day,In 393 C.E. the Emperor Theodosius banned their conduct,the 15th day,in 393 ce the emperor theodosius banned their conduct,15η ημέρα,Το 393 μ.Χ. ο αυτοκράτορας Θεοδόσιος απαγόρευσε τη διεξαγωγή τους,0.295603424,0.591,0.151,0.246,0.397,0.05,0.166666667,0.350033333,no,no,no
,distilbert-base-uncased-distilled-squad,a period of a thousand years,In 393 C.E. the Emperor Theodosius banned their conduct,a period of a thousand years,in 393 ce the emperor theodosius banned their conduct,περίοδος χιλίων ετών,Το 393 μ.Χ. ο αυτοκράτορας Θεοδόσιος απαγόρευσε τη διεξαγωγή τους,0.420412511,0.651,0.283,0.42,0.396,0.162,0,0.3589,no,no,no
,rsvp-ai/bertserini-bert-base-squad,one day,In 393 C.E. the Emperor Theodosius banned their conduct,one day,in 393 ce the emperor theodosius banned their conduct,μία ημέρα,Το 393 μ.Χ. ο αυτοκράτορας Θεοδόσιος απαγόρευσε τη διεξαγωγή τους,0.208934873,0.594,0.094,0.1,0.27,-0.017,0,0.2462,no,no,no
,deepset/minilm-uncased-squad2,award of the crowns,In 393 C.E. the Emperor Theodosius banned their conduct,award of the crowns,in 393 ce the emperor theodosius banned their conduct,απονομή των στεφάνων,Το 393 μ.Χ. ο αυτοκράτορας Θεοδόσιος απαγόρευσε τη διεξαγωγή τους,0.224085197,0.575,0.17,0.25,0.333,0.086,0.153846154,0.320969231,no,no,no
,dmis-lab/biobert-large-cased-v1.1-squad,the Emperor Theodosius forbid their conduct,In 393 C.E. the Emperor Theodosius banned their conduct,the emperor theodosius forbid their conduct,in 393 ce the emperor theodosius banned their conduct,Ο Αυτοκράτορας Θεοδόσιος απαγορεύει τη διαγωγή τους,Το 393 μ.Χ. ο αυτοκράτορας Θεοδόσιος απαγόρευσε τη διεξαγωγή τους,0.26406008,0.861,0.717,0.812,0.828,0.72,0.666666667,0.789633333,yes,yes,yes
,deepset/bert-base-cased-squad2,This ended a period of a thousand years,In 393 C.E. the Emperor Theodosius banned their conduct,this ended a period of a thousand years,in 393 ce the emperor theodosius banned their conduct,Αυτό τερμάτισε μια περίοδο χιλίων ετών,Το 393 μ.Χ. ο αυτοκράτορας Θεοδόσιος απαγόρευσε τη διεξαγωγή τους,0.498749495,0.674,0.283,0.304,0.54,0.094,0,0.4095,no,no,no
