question,model,en_model_answer,en_correct_answer,modified_model_answer,modified_correct_answer,gr_model_answer,gr_correct_answer,model_prediction_score,nlp_score,levenshtein_score,substring_score,sentence_transformers_score,greek_sentence_transformers_score,F1_score,weighted_total_score,is_correct (labeled by human),is_correct (labeled by machine),is_correct (labeled by human)
,deepset/bert-large-uncased-whole-word-masking-squad2,hot cups and a hot machine,Hot cups and hot machine,hot cups and a hot machine,hot cups and hot machine,ζεστά κύπελλα και μια καυτή μηχανή,Ζεστά φλιτζάνια και ζεστή μηχανή,0.85611254,0.983,0.923,0.96,0.994,0.902,0.727272727,0.927954545,yes,yes,yes
,distilbert-base-uncased-distilled-squad,hot cups and a hot machine,Hot cups and hot machine,hot cups and a hot machine,hot cups and hot machine,ζεστά κύπελλα και μια καυτή μηχανή,Ζεστά φλιτζάνια και ζεστή μηχανή,0.786469758,0.983,0.923,0.96,0.994,0.902,0.727272727,0.927954545,yes,yes,yes
,rsvp-ai/bertserini-bert-base-squad,hot cups and a hot machine,Hot cups and hot machine,hot cups and a hot machine,hot cups and hot machine,ζεστά κύπελλα και μια καυτή μηχανή,Ζεστά φλιτζάνια και ζεστή μηχανή,0.880506635,0.983,0.923,0.96,0.994,0.902,0.727272727,0.927954545,yes,yes,yes
,deepset/minilm-uncased-squad2,hot cups and a hot machine,Hot cups and hot machine,hot cups and a hot machine,hot cups and hot machine,ζεστά κύπελλα και μια καυτή μηχανή,Ζεστά φλιτζάνια και ζεστή μηχανή,0.830240309,0.983,0.923,0.96,0.994,0.902,0.727272727,0.927954545,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,hot cups and a hot machine,Hot cups and hot machine,hot cups and a hot machine,hot cups and hot machine,ζεστά κύπελλα και μια καυτή μηχανή,Ζεστά φλιτζάνια και ζεστή μηχανή,0.914646029,0.983,0.923,0.96,0.994,0.902,0.727272727,0.927954545,yes,yes,yes
,deepset/bert-base-cased-squad2,hot cups and a hot machine,Hot cups and hot machine,hot cups and a hot machine,hot cups and hot machine,ζεστά κύπελλα και μια καυτή μηχανή,Ζεστά φλιτζάνια και ζεστή μηχανή,0.929983854,0.983,0.923,0.96,0.994,0.902,0.727272727,0.927954545,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,hot cups and a hot machine,Hot cups and hot machine,hot cups and a hot machine,hot cups and hot machine,ζεστά κύπελλα και μια καυτή μηχανή,Ζεστά φλιτζάνια και ζεστή μηχανή,0.872493267,0.983,0.923,0.96,0.994,0.902,0.727272727,0.927954545,yes,yes,yes
How do we understand good espresso?,deepset/roberta-base-squad2,by its kaimaki,From kaimaki,by its kaimaki,from kaimaki,από το καϊμάκι του,Από το καϊμάκι,0.414938718,0.447,0.571,0.615,0.941,0.876,0.4,0.6644,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,by its kaimaki,From kaimaki,by its kaimaki,from kaimaki,από το καϊμάκι του,Από το καϊμάκι,0.593715966,0.447,0.571,0.615,0.941,0.876,0.4,0.6644,yes,yes,yes
,distilbert-base-cased-distilled-squad,kaimaki,From kaimaki,kaimaki,from kaimaki,καϊμάκι,Από το καϊμάκι,0.333501369,0,0.583,0.737,0.954,0.652,0.666666667,0.646933333,partially,partially,partially
,deepset/bert-large-uncased-whole-word-masking-squad2,kaimaki,From kaimaki,kaimaki,from kaimaki,καϊμάκι,Από το καϊμάκι,0.425820708,0,0.583,0.737,0.954,0.652,0.666666667,0.646933333,partially,partially,partially
,distilbert-base-uncased-distilled-squad,kaimaki,From kaimaki,kaimaki,from kaimaki,καϊμάκι,Από το καϊμάκι,0.338632137,0,0.583,0.737,0.954,0.652,0.666666667,0.646933333,partially,partially,partially
,rsvp-ai/bertserini-bert-base-squad,by its kaimaki,From kaimaki,by its kaimaki,from kaimaki,από το καϊμάκι του,Από το καϊμάκι,0.386733025,0.447,0.571,0.615,0.941,0.876,0.4,0.6644,yes,yes,yes
,deepset/minilm-uncased-squad2,kaimaki,From kaimaki,kaimaki,from kaimaki,καϊμάκι,Από το καϊμάκι,0.433442891,0,0.583,0.737,0.954,0.652,0.666666667,0.646933333,partially,partially,partially
,dmis-lab/biobert-large-cased-v1.1-squad,by its kaimaki,From kaimaki,by its kaimaki,from kaimaki,από το καϊμάκι του,Από το καϊμάκι,0.773811638,0.447,0.571,0.615,0.941,0.876,0.4,0.6644,yes,yes,yes
,deepset/bert-base-cased-squad2,It should have the color of candy and not break,From kaimaki,it should have the color of candy and not break,from kaimaki,Θα πρέπει να έχει το χρώμα της καραμέλας και όχι να σπάσει,Από το καϊμάκι,0.250178695,0.504,0.106,0.102,0.278,0.037,0,0.2328,no,no,no
,bert-large-cased-whole-word-masking-finetuned-squad,by its kaimaki,From kaimaki,by its kaimaki,from kaimaki,από το καϊμάκι του,Από το καϊμάκι,0.419518352,0.447,0.571,0.615,0.941,0.876,0.4,0.6644,yes,yes,yes
How many times do you mix Greek coffee?,deepset/roberta-base-squad2,1-2 times,1-2 times,12 times,12 times,1-2 φορές,1-2 φορές,0.005969781,1,1,1,1,1,1,1,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,1-2 times,1-2 times,12 times,12 times,1-2 φορές,1-2 φορές,0.546985686,1,1,1,1,1,1,1,yes,yes,yes
,distilbert-base-cased-distilled-squad,1-2 times,1-2 times,12 times,12 times,1-2 φορές,1-2 φορές,0.594471216,1,1,1,1,1,1,1,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,01-Feb,1-2 times,12,12 times,01-Feb,1-2 φορές,0.486136526,0.791,0.25,0.4,0.918,0.639,0.666666667,0.723733333,yes,yes,no
,distilbert-base-uncased-distilled-squad,1-2 times,1-2 times,12 times,12 times,1-2 φορές,1-2 φορές,0.615849495,1,1,1,1,1,1,1,yes,yes,yes
,rsvp-ai/bertserini-bert-base-squad,1-2 times,1-2 times,12 times,12 times,1-2 φορές,1-2 φορές,0.726117373,1,1,1,1,1,1,1,yes,yes,yes
,deepset/minilm-uncased-squad2,1-2 times,1-2 times,12 times,12 times,1-2 φορές,1-2 φορές,0.24829708,1,1,1,1,1,1,1,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,1-2 times,1-2 times,12 times,12 times,1-2 φορές,1-2 φορές,0.75262624,1,1,1,1,1,1,1,yes,yes,yes
,deepset/bert-base-cased-squad2,01-Feb,1-2 times,12,12 times,01-Feb,1-2 φορές,0.290266007,0.791,0.25,0.4,0.918,0.639,0.666666667,0.723733333,yes,yes,no
,bert-large-cased-whole-word-masking-finetuned-squad,1-2 times,1-2 times,12 times,12 times,1-2 φορές,1-2 φορές,0.540711164,1,1,1,1,1,1,1,yes,yes,yes
When is Greek coffee ready?,deepset/roberta-base-squad2,when the kaimaki starts to rise,When the kaimaki starts to swell,when the kaimaki starts to rise,when the kaimaki starts to swell,όταν το καϊμάκι αρχίσει να ανεβαίνει,Όταν αρχίσει να φουσκώνει το καϊμάκι,0.685546398,0.946,0.844,0.921,0.888,0.926,0.833333333,0.887566667,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,when the kaimaki starts to rise,When the kaimaki starts to swell,when the kaimaki starts to rise,when the kaimaki starts to swell,όταν το καϊμάκι αρχίσει να ανεβαίνει,Όταν αρχίσει να φουσκώνει το καϊμάκι,0.853616536,0.946,0.844,0.921,0.888,0.926,0.833333333,0.887566667,yes,yes,yes
,distilbert-base-cased-distilled-squad,when the kaimaki starts to rise,When the kaimaki starts to swell,when the kaimaki starts to rise,when the kaimaki starts to swell,όταν το καϊμάκι αρχίσει να ανεβαίνει,Όταν αρχίσει να φουσκώνει το καϊμάκι,0.763943911,0.946,0.844,0.921,0.888,0.926,0.833333333,0.887566667,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,when the kaimaki starts to rise,When the kaimaki starts to swell,when the kaimaki starts to rise,when the kaimaki starts to swell,όταν το καϊμάκι αρχίσει να ανεβαίνει,Όταν αρχίσει να φουσκώνει το καϊμάκι,0.861716032,0.946,0.844,0.921,0.888,0.926,0.833333333,0.887566667,yes,yes,yes
,distilbert-base-uncased-distilled-squad,when the kaimaki starts to rise,When the kaimaki starts to swell,when the kaimaki starts to rise,when the kaimaki starts to swell,όταν το καϊμάκι αρχίσει να ανεβαίνει,Όταν αρχίσει να φουσκώνει το καϊμάκι,0.837050915,0.946,0.844,0.921,0.888,0.926,0.833333333,0.887566667,yes,yes,yes
,rsvp-ai/bertserini-bert-base-squad,when the kaimaki starts to rise,When the kaimaki starts to swell,when the kaimaki starts to rise,when the kaimaki starts to swell,όταν το καϊμάκι αρχίσει να ανεβαίνει,Όταν αρχίσει να φουσκώνει το καϊμάκι,0.863010585,0.946,0.844,0.921,0.888,0.926,0.833333333,0.887566667,yes,yes,yes
,deepset/minilm-uncased-squad2,when the kaimaki starts to rise,When the kaimaki starts to swell,when the kaimaki starts to rise,when the kaimaki starts to swell,όταν το καϊμάκι αρχίσει να ανεβαίνει,Όταν αρχίσει να φουσκώνει το καϊμάκι,0.814719319,0.946,0.844,0.921,0.888,0.926,0.833333333,0.887566667,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,when the kaimaki starts to rise,When the kaimaki starts to swell,when the kaimaki starts to rise,when the kaimaki starts to swell,όταν το καϊμάκι αρχίσει να ανεβαίνει,Όταν αρχίσει να φουσκώνει το καϊμάκι,0.95944947,0.946,0.844,0.921,0.888,0.926,0.833333333,0.887566667,yes,yes,yes
,deepset/bert-base-cased-squad2,when the kaimaki starts to rise,When the kaimaki starts to swell,when the kaimaki starts to rise,when the kaimaki starts to swell,όταν το καϊμάκι αρχίσει να ανεβαίνει,Όταν αρχίσει να φουσκώνει το καϊμάκι,0.790176213,0.946,0.844,0.921,0.888,0.926,0.833333333,0.887566667,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,when the kaimaki starts to rise,When the kaimaki starts to swell,when the kaimaki starts to rise,when the kaimaki starts to swell,όταν το καϊμάκι αρχίσει να ανεβαίνει,Όταν αρχίσει να φουσκώνει το καϊμάκι,0.693148553,0.946,0.844,0.921,0.888,0.926,0.833333333,0.887566667,yes,yes,yes
What does he want attention to in Greek coffee?,deepset/roberta-base-squad2,not to rise completely,Do not inflate completely,not to rise completely,do not inflate completely,να μην αυξηθεί εντελώς,Να μη φουσκώσει εντελώς,0.02075037,0.853,0.64,0.723,0.926,0.789,0.5,0.7773,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,the water in the pot should be cool,Do not inflate completely,the water in the pot should be cool,do not inflate completely,το νερό στην κατσαρόλα πρέπει να είναι δροσερό,Να μη φουσκώσει εντελώς,0.068323411,0.679,0.257,0.333,0.449,0.197,0,0.3744,no,no,no
,distilbert-base-cased-distilled-squad,the water in the pot should be cool,Do not inflate completely,the water in the pot should be cool,do not inflate completely,το νερό στην κατσαρόλα πρέπει να είναι δροσερό,Να μη φουσκώσει εντελώς,0.13481015,0.679,0.257,0.333,0.449,0.197,0,0.3744,no,no,no
,deepset/bert-large-uncased-whole-word-masking-squad2,water in the pot should be cool,Do not inflate completely,water in the pot should be cool,do not inflate completely,το νερό στην κατσαρόλα πρέπει να είναι δροσερό,Να μη φουσκώσει εντελώς,0.001869173,0.684,0.194,0.357,0.454,0.197,0,0.3735,no,no,no
,distilbert-base-uncased-distilled-squad,the water in the pot should be cool,Do not inflate completely,the water in the pot should be cool,do not inflate completely,το νερό στην κατσαρόλα πρέπει να είναι δροσερό,Να μη φουσκώσει εντελώς,0.221298024,0.679,0.257,0.333,0.449,0.197,0,0.3744,no,no,no
,rsvp-ai/bertserini-bert-base-squad,the water in the pot should be cool,Do not inflate completely,the water in the pot should be cool,do not inflate completely,το νερό στην κατσαρόλα πρέπει να είναι δροσερό,Να μη φουσκώσει εντελώς,0.090758793,0.679,0.257,0.333,0.449,0.197,0,0.3744,no,no,no
,deepset/minilm-uncased-squad2,water in the pot should be cool,Do not inflate completely,water in the pot should be cool,do not inflate completely,το νερό στην κατσαρόλα πρέπει να είναι δροσερό,Να μη φουσκώσει εντελώς,0.003674012,0.684,0.194,0.357,0.454,0.197,0,0.3735,no,no,no
,dmis-lab/biobert-large-cased-v1.1-squad,the water in the pot should be cool.First add the sugar,Do not inflate completely,the water in the pot should be coolfirst add the sugar,do not inflate completely,το νερό στην κατσαρόλα πρέπει να είναι δροσερό. Πρώτα προσθέτουμε τη ζάχαρη,Να μη φουσκώσει εντελώς,0.051766723,0.665,0.222,0.304,0.173,0.01,0,0.2548,no,no,no
,deepset/bert-base-cased-squad2,water in the pot should be cool,Do not inflate completely,water in the pot should be cool,do not inflate completely,το νερό στην κατσαρόλα πρέπει να είναι δροσερό,Να μη φουσκώσει εντελώς,0.041541811,0.684,0.194,0.357,0.454,0.197,0,0.3735,no,no,no
,bert-large-cased-whole-word-masking-finetuned-squad,the water in the pot should be cool,Do not inflate completely,the water in the pot should be cool,do not inflate completely,το νερό στην κατσαρόλα πρέπει να είναι δροσερό,Να μη φουσκώσει εντελώς,0.093260899,0.679,0.257,0.333,0.449,0.197,0,0.3744,no,no,no
How long does filter coffee take?,deepset/roberta-base-squad2,1 minute,About 1 minute,1 minute,about 1 minute,1 λεπτό,1 περίπου λεπτό,0.537042022,0.916,0.571,0.727,0.952,0.964,0.8,0.8538,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,1 minute,About 1 minute,1 minute,about 1 minute,1 λεπτό,1 περίπου λεπτό,0.620966554,0.916,0.571,0.727,0.952,0.964,0.8,0.8538,yes,yes,yes
,distilbert-base-cased-distilled-squad,4 minutes,About 1 minute,4 minutes,about 1 minute,4 λεπτά,1 περίπου λεπτό,0.551913083,0.792,0.429,0.609,0.736,0.776,0,0.5566,no,partially,no
,deepset/bert-large-uncased-whole-word-masking-squad2,1 minute,About 1 minute,1 minute,about 1 minute,1 λεπτό,1 περίπου λεπτό,0.377518803,0.916,0.571,0.727,0.952,0.964,0.8,0.8538,yes,yes,yes
,distilbert-base-uncased-distilled-squad,4 minutes,About 1 minute,4 minutes,about 1 minute,4 λεπτά,1 περίπου λεπτό,0.286489487,0.792,0.429,0.609,0.736,0.776,0,0.5566,no,partially,no
,rsvp-ai/bertserini-bert-base-squad,1 minute,About 1 minute,1 minute,about 1 minute,1 λεπτό,1 περίπου λεπτό,0.81012553,0.916,0.571,0.727,0.952,0.964,0.8,0.8538,yes,yes,yes
,deepset/minilm-uncased-squad2,1 minute,About 1 minute,1 minute,about 1 minute,1 λεπτό,1 περίπου λεπτό,0.422804207,0.916,0.571,0.727,0.952,0.964,0.8,0.8538,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,1 minute,About 1 minute,1 minute,about 1 minute,1 λεπτό,1 περίπου λεπτό,0.538061976,0.916,0.571,0.727,0.952,0.964,0.8,0.8538,yes,yes,yes
,deepset/bert-base-cased-squad2,1-2 times,About 1 minute,12 times,about 1 minute,1-2 φορές,1 περίπου λεπτό,0.003454075,0.621,0.143,0.364,0.631,0.432,0,0.4273,no,no,no
,bert-large-cased-whole-word-masking-finetuned-squad,1 minute,About 1 minute,1 minute,about 1 minute,1 λεπτό,1 περίπου λεπτό,0.61694175,0.916,0.571,0.727,0.952,0.964,0.8,0.8538,yes,yes,yes
In how long is filter coffee made?,deepset/roberta-base-squad2,1 minute,In about 1 minute,1 minute,in about 1 minute,1 λεπτό,Σε 1 περίπου λεπτό,0.520068467,0.847,0.471,0.64,0.945,0.928,0.666666667,0.791833333,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,1 minute,In about 1 minute,1 minute,in about 1 minute,1 λεπτό,Σε 1 περίπου λεπτό,0.622932792,0.847,0.471,0.64,0.945,0.928,0.666666667,0.791833333,yes,yes,yes
,distilbert-base-cased-distilled-squad,20-30 seconds,In about 1 minute,2030 seconds,in about 1 minute,20-30 δευτερόλεπτα,Σε 1 περίπου λεπτό,0.313081264,0.42,0.118,0.138,0.587,0.485,0,0.3444,no,no,no
,deepset/bert-large-uncased-whole-word-masking-squad2,1 minute,In about 1 minute,1 minute,in about 1 minute,1 λεπτό,Σε 1 περίπου λεπτό,0.490228146,0.847,0.471,0.64,0.945,0.928,0.666666667,0.791833333,yes,yes,yes
,distilbert-base-uncased-distilled-squad,1 minute,In about 1 minute,1 minute,in about 1 minute,1 λεπτό,Σε 1 περίπου λεπτό,0.228117406,0.847,0.471,0.64,0.945,0.928,0.666666667,0.791833333,yes,yes,yes
,rsvp-ai/bertserini-bert-base-squad,1 minute,In about 1 minute,1 minute,in about 1 minute,1 λεπτό,Σε 1 περίπου λεπτό,0.832051575,0.847,0.471,0.64,0.945,0.928,0.666666667,0.791833333,yes,yes,yes
,deepset/minilm-uncased-squad2,1 minute,In about 1 minute,1 minute,in about 1 minute,1 λεπτό,Σε 1 περίπου λεπτό,0.555508137,0.847,0.471,0.64,0.945,0.928,0.666666667,0.791833333,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,1 minute,In about 1 minute,1 minute,in about 1 minute,1 λεπτό,Σε 1 περίπου λεπτό,0.558890641,0.847,0.471,0.64,0.945,0.928,0.666666667,0.791833333,yes,yes,yes
,deepset/bert-base-cased-squad2,4 minutes,In about 1 minute,4 minutes,in about 1 minute,4 λεπτά,Σε 1 περίπου λεπτό,0.006955994,0.742,0.353,0.538,0.723,0.737,0,0.5267,no,partially,no
,bert-large-cased-whole-word-masking-finetuned-squad,1 minute,In about 1 minute,1 minute,in about 1 minute,1 λεπτό,Σε 1 περίπου λεπτό,0.662539959,0.847,0.471,0.64,0.945,0.928,0.666666667,0.791833333,yes,yes,yes
Which coffee is most difficult to make at home?,deepset/roberta-base-squad2,espresso,The espresso,espresso,the espresso,εσπρέσο,Ο εσπρέσο,0.332805723,0.861,0.667,0.8,0.986,0.962,0.666666667,0.846633333,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,espresso,The espresso,espresso,the espresso,εσπρέσο,Ο εσπρέσο,0.319826663,0.861,0.667,0.8,0.986,0.962,0.666666667,0.846633333,yes,yes,yes
,distilbert-base-cased-distilled-squad,espresso,The espresso,espresso,the espresso,εσπρέσο,Ο εσπρέσο,0.79767561,0.861,0.667,0.8,0.986,0.962,0.666666667,0.846633333,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,espresso,The espresso,espresso,the espresso,εσπρέσο,Ο εσπρέσο,0.313530475,0.861,0.667,0.8,0.986,0.962,0.666666667,0.846633333,yes,yes,yes
,distilbert-base-uncased-distilled-squad,espresso,The espresso,espresso,the espresso,εσπρέσο,Ο εσπρέσο,0.783569455,0.861,0.667,0.8,0.986,0.962,0.666666667,0.846633333,yes,yes,yes
,rsvp-ai/bertserini-bert-base-squad,espresso,The espresso,espresso,the espresso,εσπρέσο,Ο εσπρέσο,0.961934626,0.861,0.667,0.8,0.986,0.962,0.666666667,0.846633333,yes,yes,yes
,deepset/minilm-uncased-squad2,espresso,The espresso,espresso,the espresso,εσπρέσο,Ο εσπρέσο,0.327833593,0.861,0.667,0.8,0.986,0.962,0.666666667,0.846633333,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,espresso,The espresso,espresso,the espresso,εσπρέσο,Ο εσπρέσο,0.30979678,0.861,0.667,0.8,0.986,0.962,0.666666667,0.846633333,yes,yes,yes
,deepset/bert-base-cased-squad2,espresso,The espresso,espresso,the espresso,εσπρέσο,Ο εσπρέσο,0.467866361,0.861,0.667,0.8,0.986,0.962,0.666666667,0.846633333,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,espresso,The espresso,espresso,the espresso,εσπρέσο,Ο εσπρέσο,0.213080972,0.861,0.667,0.8,0.986,0.962,0.666666667,0.846633333,yes,yes,yes
What color should the kaimaki of espresso have?,deepset/roberta-base-squad2,candy,The color of candy,candy,the color of candy,καραμέλα,Το χρώμα της καραμέλας,0.869100988,0.678,0.278,0.435,0.867,0.523,0.4,0.6337,yes,partially,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,candy,The color of candy,candy,the color of candy,καραμέλα,Το χρώμα της καραμέλας,0.931361437,0.678,0.278,0.435,0.867,0.523,0.4,0.6337,yes,partially,yes
,distilbert-base-cased-distilled-squad,candy,The color of candy,candy,the color of candy,καραμέλα,Το χρώμα της καραμέλας,0.936385393,0.678,0.278,0.435,0.867,0.523,0.4,0.6337,yes,partially,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,candy,The color of candy,candy,the color of candy,καραμέλα,Το χρώμα της καραμέλας,0.882658958,0.678,0.278,0.435,0.867,0.523,0.4,0.6337,yes,partially,yes
,distilbert-base-uncased-distilled-squad,candy,The color of candy,candy,the color of candy,καραμέλα,Το χρώμα της καραμέλας,0.901719451,0.678,0.278,0.435,0.867,0.523,0.4,0.6337,yes,partially,yes
,rsvp-ai/bertserini-bert-base-squad,candy,The color of candy,candy,the color of candy,καραμέλα,Το χρώμα της καραμέλας,0.842140198,0.678,0.278,0.435,0.867,0.523,0.4,0.6337,yes,partially,yes
,deepset/minilm-uncased-squad2,candy,The color of candy,candy,the color of candy,καραμέλα,Το χρώμα της καραμέλας,0.392613411,0.678,0.278,0.435,0.867,0.523,0.4,0.6337,yes,partially,yes
,dmis-lab/biobert-large-cased-v1.1-squad,candy,The color of candy,candy,the color of candy,καραμέλα,Το χρώμα της καραμέλας,0.729660094,0.678,0.278,0.435,0.867,0.523,0.4,0.6337,yes,partially,yes
,deepset/bert-base-cased-squad2,candy,The color of candy,candy,the color of candy,καραμέλα,Το χρώμα της καραμέλας,0.8990466,0.678,0.278,0.435,0.867,0.523,0.4,0.6337,yes,partially,yes
,bert-large-cased-whole-word-masking-finetuned-squad,candy,The color of candy,candy,the color of candy,καραμέλα,Το χρώμα της καραμέλας,0.589806736,0.678,0.278,0.435,0.867,0.523,0.4,0.6337,yes,partially,yes
How did the Olympic period end?,deepset/roberta-base-squad2,a general feast of acquaintance,In 393 AD the emperor Theodosius forbade their conduction,a general feast of acquaintance,in 393 ad the emperor theodosius forbade their conduction,μια γενική γιορτή γνωριμίας,Το 393 μ.Χ. ο αυτοκράτορας Θεοδόσιος απαγόρευσε τη διεξαγωγή τους,0.31341204,0.64,0.246,0.318,0.261,0.083,0,0.2888,no,no,no
,bert-large-uncased-whole-word-masking-finetuned-squad,the Emperor Theodosius forbade their conduct,In 393 AD the emperor Theodosius forbade their conduction,the emperor theodosius forbade their conduct,in 393 ad the emperor theodosius forbade their conduction,ο αυτοκράτορας Θεοδόσιος απαγόρασε τη συμπεριφορά τους,Το 393 μ.Χ. ο αυτοκράτορας Θεοδόσιος απαγόρευσε τη διεξαγωγή τους,0.143288106,0.851,0.772,0.871,0.907,0.686,0.666666667,0.830633333,no,no,no
,distilbert-base-cased-distilled-squad,a general feast of acquaintance,In 393 AD the emperor Theodosius forbade their conduction,a general feast of acquaintance,in 393 ad the emperor theodosius forbade their conduction,μια γενική γιορτή γνωριμίας,Το 393 μ.Χ. ο αυτοκράτορας Θεοδόσιος απαγόρευσε τη διεξαγωγή τους,0.495634705,0.64,0.246,0.318,0.261,0.083,0,0.2888,no,no,no
,deepset/bert-large-uncased-whole-word-masking-squad2,a period of a thousand years,In 393 AD the emperor Theodosius forbade their conduction,a period of a thousand years,in 393 ad the emperor theodosius forbade their conduction,μια περίοδος χιλίων ετών,Το 393 μ.Χ. ο αυτοκράτορας Θεοδόσιος απαγόρευσε τη διεξαγωγή τους,0.231419668,0.614,0.263,0.353,0.396,0.149,0,0.3428,no,no,no
,distilbert-base-uncased-distilled-squad,a general feast of acquaintance,In 393 AD the emperor Theodosius forbade their conduction,a general feast of acquaintance,in 393 ad the emperor theodosius forbade their conduction,μια γενική γιορτή γνωριμίας,Το 393 μ.Χ. ο αυτοκράτορας Θεοδόσιος απαγόρευσε τη διεξαγωγή τους,0.508084595,0.64,0.246,0.318,0.261,0.083,0,0.2888,no,no,no
